    #P [MeV^4]                #dens_energia [MeV^4]      T [MeV]
   5907472.5091471672        66931622.733777836        132.00000000000000     
   6485520.6431641579        73998730.622746527        133.00000000000000     
   7119582.7984387875        81848860.492960542        134.00000000000000     
   7815453.3131647110        90583690.152326867        135.00000000000000     
   8579655.2274656296        100322079.31043971        136.00000000000000     
   9419564.3047375679        111203986.07739678        137.00000000000000     
   10343562.071397305        123395559.21107899        138.00000000000000     
   11361226.874650955        137095855.18111488        139.00000000000000     
   12483575.489729643        152545841.78148830        140.00000000000000     
   13723373.113662481        170040685.32644820        141.00000000000000     
   15095537.647230387        189946861.58566990        142.00000000000000     
   16617676.834900379        212726537.15646380        143.00000000000000     
   18310817.263015747        238973233.26853099        144.00000000000000     
   20200418.381453276        269465592.74303788        145.00000000000000     
   22317824.058945656        305251336.06113583        146.00000000000000     
   24702412.029358387        347783870.20078856        147.00000000000000     
   27404907.969765186        399155671.77198851        148.00000000000000     
   30492750.468600512        462520812.25874096        149.00000000000000     
   34059305.893368959        542914290.33996546        150.00000000000000     
   38240868.840180397        648970017.93101847        151.00000000000000     
   43250676.468033791        796794757.76474559        152.00000000000000     
   49451321.241973400        1018492453.1169769        153.00000000000000     
   57488477.936565161        1368772469.6729355        154.00000000000000     
   68277070.787849426        1854990543.2344975        155.00000000000000     #ACÁ ESTÁ LA TRANSICIÓN
   82338023.469281673        2363559119.8899426        156.00000000000000     
   99535834.170819044        2830931394.1185369        157.00000000000000     
   119575222.23349524        3257214599.9374256        158.00000000000000     
   142207541.62919068        3651660659.8818846        159.00000000000000     
   167240736.65693617        4021686778.6122241        160.00000000000000     
   194525067.73509908        4372774611.7359304        161.00000000000000     
   223942638.47924638        4709192655.3126574        162.00000000000000     
   255400797.60450482        5034426620.1895866        163.00000000000000     
   288827570.14213967        5351381471.1768789        164.00000000000000     
   324168069.81725454        5662480839.3394394        165.00000000000000     
   361381535.91587830        5969732998.8685627        166.00000000000000     
   400438466.44057941        6274789789.2822971        167.00000000000000     
   441319022.50019860        6579002496.9283791        168.00000000000000     
   484010659.32783222        6883475163.7500267        169.00000000000000     
   528506950.57575893        7189111114.2604246        170.00000000000000     
   574806374.89872503        7496652773.8980083        171.00000000000000     
   622911380.27647114        7806714406.9762058        172.00000000000000     
   672827650.86764050        8119808479.4244604        173.00000000000000     
   724563525.17684889        8436366586.4877186        174.00000000000000     
   778129532.87607908        8756755955.8743954        175.00000000000000     
   833538035.22908449        9081292374.7823620        176.00000000000000     
   890802920.50129223        9410250364.4813881        177.00000000000000     
   949939375.61076117        9743871133.7660599        178.00000000000000     
   1010963693.5646892        10082368857.245541        179.00000000000000     
   1073893118.2529197        10425935634.536261        180.00000000000000     
   1138745717.2847128        10774745428.093811        181.00000000000000     
   1205540277.1251698        11128957206.182205        182.00000000000000     
   1274296216.0213070        11488717465.273624        183.00000000000000     
   1345033511.2449985        11854162266.066631        184.00000000000000     
   1417752205.1812029        12225439319.367115        185.00000000000000     
   1492534517.0888910        12602607172.873161        186.00000000000000     
   1569340471.9524951        12985840647.917778        187.00000000000000     
   1648212189.8115339        13375227430.582886        188.00000000000000     
   1729171689.7528377        13770870995.342958        189.00000000000000     
   1812241294.5364933        14172870822.165831        190.00000000000000     
   1897443606.1795583        14581322918.774895        191.00000000000000     
   1984801484.6622305        14996320287.251259        192.00000000000000     
   2074338029.2627859        15417953310.658421        193.00000000000000     
   2166076562.1569495        15846310086.221991        194.00000000000000     
   2260040613.9377980        16281476713.299831        195.00000000000000     
   2356253910.8263078        16723537816.598711        196.00000000000000     
   2454740363.3227935        17172575397.912390        197.00000000000000     
   2555524056.1300378        17628671760.826866        198.00000000000000     
   2658629239.1944261        18091906947.000515        199.00000000000000     
   2764080319.7283378        18562360253.045967        200.00000000000000     
   2871901855.0907884        19040110091.262028        201.00000000000000     
   2982118546.4663558        19525234110.241196        202.00000000000000     
   3094755233.2035499        20017809303.159138        203.00000000000000     
   3209836889.6161542        20517912104.168655        204.00000000000000     
   3327388613.2560105        21025618484.839931        205.00000000000000     
   3447435631.8278499        21541004024.615692        206.00000000000000     
   3570003292.4321866        22064143992.470966        207.00000000000000     
   3695117060.2631707        22595113413.379795        208.00000000000000     
   3822802515.9107947        23133987131.111778        209.00000000000000     
   3953085352.9559293        23680839866.122665        210.00000000000000     
   4085991375.9012637        24235746269.018547        211.00000000000000     
   4221546498.3937163        24798780969.990376        212.00000000000000     
   4359776741.6829357        25370018624.589516        213.00000000000000     
   4500708233.3229713        25949533956.131275        214.00000000000000     
   4644367206.0977745        26537401795.017612        215.00000000000000     
   4790779997.1345291        27133697115.113945        216.00000000000000     
